CODE_DISTRICT,DISTRICT,AGE,TOTAL
8,Nou Barris,85-89,21157
8,Nou Barris,90-94,7859
8,Nou Barris,>=95,1543
9,Sant Andreu,0-4,33772
9,Sant Andreu,10-14,30545
9,Sant Andreu,15-19,29975
9,Sant Andreu,20-24,33628
9,Sant Andreu,25-29,41250
9,Sant Andreu,30-34,52626
9,Sant Andreu,35-39,63578
9,Sant Andreu,40-44,60665
9,Sant Andreu,45-49,54320
9,Sant Andreu,5-9,33712
9,Sant Andreu,50-54,50734
9,Sant Andreu,55-59,48023
9,Sant Andreu,60-64,44428
9,Sant Andreu,65-69,43180
9,Sant Andreu,70-74,33209
9,Sant Andreu,75-79,28492
9,Sant Andreu,80-84,26210
9,Sant Andreu,85-89,16800
9,Sant Andreu,90-94,6810
9,Sant Andreu,>=95,1691
10,Sant Martí,0-4,53968
10,Sant Martí,10-14,49368
10,Sant Martí,15-19,47056
10,Sant Martí,20-24,52763
10,Sant Martí,25-29,68700
10,Sant Martí,30-34,89460
10,Sant Martí,35-39,104511
10,Sant Martí,40-44,99641
10,Sant Martí,45-49,90211
10,Sant Martí,5-9,54364
10,Sant Martí,50-54,83420
10,Sant Martí,55-59,73641
10,Sant Martí,60-64,64878
10,Sant Martí,65-69,61370
10,Sant Martí,70-74,50387
10,Sant Martí,75-79,44297
10,Sant Martí,80-84,41676
10,Sant Martí,85-89,26094
10,Sant Martí,90-94,10269
10,Sant Martí,>=95,2481
