NAME_AREA,ROAD,CODE_DISTRICT,DISTRICT,GEOX,GEOY
Àrea de Joc Infantil a la Plaça del Centre,Pl Centre,4,Les Corts,41.38213994454888,2.135434108729222
Àrea de Joc Infantil a la Placeta Joan Brossa,C Rosselló,2,Eixample,41.39206278326662,2.1554843892009625
Àrea de Joc Infantil a la Plaça Pablo Neruda,Pl Pablo Neruda,2,Eixample,41.401561175891096,2.1778135454926244
Àrea de Joc Infantil a Torrent de les Roses,C Torrent de les Roses,4,Les Corts,41.38932959194859,2.1054209008952167
Àrea de Joc Infantil a la Plaça Ferran Lesseps,Pl Lesseps,6,Gràcia,41.40662140862611,2.1491201482297124
Àrea de Joc Infantil a Jaume Cascalls,C Jaume Cascalls,6,Gràcia,41.41768524262899,2.1506376343168854
Àrea de Joc Infantil a la Plaça d'Haya de la Torre,Pl Haya de la Torre,7,Horta-Guinardó,41.422269573811775,2.157982887302896
Àrea de Joc Infantil a Bac de Roda - Andrade,C Andrade,10,Sant Martí,41.41302982800672,2.1973599603433165
Àrea de Joc Infantil a la Plaça Nou Pins,Nou Pins,8,Nou Barris,41.44208383719178,2.1812434650384653
Àrea de Joc Infantil a Lorena - Passeig Valldaura,C Lorena,8,Nou Barris,41.437936917906114,2.173268733478746
Àrea de Joc Infantil a la Plaça Mossèn Clapés,Pl Mossèn Clapés,9,Sant Andreu,41.441603804204654,2.187304353713297
Àrea de Joc Infantil a la Plaça Assemblea de Catalunya,Pl Assemblea de Catalunya,9,Sant Andreu,41.42469008956048,2.188121286424582
Àrea de Joc Infantil a la Rambla Prim - Granvia - Andrade,Rbla Prim,10,Sant Martí,41.41958971562104,2.207555426956932
Àrea de Joc Infantil a la Plaça Can Robacols,Pl Can Robacols,10,Sant Martí,41.40623400268058,2.2023389875298856
Àrea de Joc Infantil al Passeig de Sant Joan - Provença - Rosselló,Pg Sant Joan,2,Eixample,41.39976382737768,2.169246273088361
Àrea de Joc Infantil a la Plaça Perú,C Perú,10,Sant Martí,41.41381978922843,2.202934238425565
Àrea de Joc Infantil a la Plaça dels Porxos,Pl Porxos,10,Sant Martí,41.41449500483966,2.199889164888966
Àrea de Joc Infantil a Doctor Zamenhof,C Doctor Zamenhof,10,Sant Martí,41.416015450497,2.196042468909532
Àrea de Joc Infantil a la Plaça d'Àngel Pestaña,Pl Àngel Pestaña,8,Nou Barris,41.44171279566282,2.179926813319305
Àrea de Joc Infantil a Sant Adrià - LLinars del Vallès - Estadella,C Estadella,9,Sant Andreu,41.435752439717,2.208415748670665
Àrea de Joc Infantil a la Plaça Félix Rodríguez de la Fuente,C Estadella,9,Sant Andreu,41.43519118006383,2.204404315079172
Àrea de Joc Infantil al Grup Mare Déu de la Fe,C Cantàbria,10,Sant Martí,41.42241137263009,2.19810312367977
Àrea de Joc Infantil a la Plaça de la Palmera de Sant Martí,C Puigcerdà,10,Sant Martí,41.41993052014727,2.203643512245334
Àrea  de Joc Infantil a Via Trajana - Santander - Passeig Verneda - Binefar,C Santander,10,Sant Martí,41.42898740069258,2.2037386416864413
Àrea de Joc Infantil a Reis Catòlics,Reis Catòlics,5,Sarrià-Sant Gervasi,41.41481076925906,2.1030424784037214
Àrea de Joc Infantil a l'Avinguda Diagonal - Selva de Mar - Josep Pla,Avinguda Diagonal,10,Sant Martí,41.40946924129369,2.2098244854436886
Àrea de Joc Infantil a Trias i Giró,Trias i Giró,4,Les Corts,41.38664580284677,2.1141972778353395
Àrea de Joc Infantil a la Plaça Rosa Sabater,Folgueroles,5,Sarrià-Sant Gervasi,41.40723455463514,2.1377181290138174
Àrea de Joc Infantil al Passeig Santa Eulàlia,Pg Santa Eulàlia,5,Sarrià-Sant Gervasi,41.40356549708831,2.116284333148391
Àrea de Joc Infantil a la Plaça Sibil·les,Pl Sibil.les,7,Horta-Guinardó,41.432384579287465,2.148430218887552
Àrea de Joc Infantil a Ventura Rodríguez,C Ventura Rodríguez,7,Horta-Guinardó,41.432739051140736,2.149642578492576
Àrea de Joc Infantil a la Via Júlia,Via Júlia,8,Nou Barris,41.43928991428109,2.1750483104026603
Àrea de Joc Infantil a la Plaça Mossén Joan Cortina,Carrer de Santander,9,Sant Andreu,41.43384435341714,2.2070996652693093
Àrea de Joc Infantil a Andrade - Agricultura - Treball,C Andrade,10,Sant Martí,41.41652723122792,2.202313162775408
Àrea de Joc Infantil a Josep Sangenis,C Josep Sangenís,7,Horta-Guinardó,41.42452323260027,2.149414127976912
Àrea de Joc Infantil a la Rambla Prim- Guipúscoa - Binefar,Rbla Prim,10,Sant Martí,41.424063473281485,2.20302543625628
Àrea de Joc Infantil a Josep Sunyol i Garriga - Camí de Torre Melina,C Josep Sunyol i Garriga,4,Les Corts,41.37682778556364,2.111224622555945
Àrea de Joc Infantil,C Nicaragua,4,Les Corts,41.386970527061735,2.13659342971194
Àrea de Joc Infantil,C Villarroel,2,Eixample,41.38357457590136,2.159166177685566
Àrea de Joc Infantil,Av Diagonal,10,Sant Martí,41.40491751304483,2.194300459447782
Àrea de Joc Infantil,Carrer dels Pellaires,10,Sant Martí,41.40386703390894,2.209957203592256
Àrea de Joc Infantil,C Bilbao,10,Sant Martí,41.40238689007208,2.204896714047769
Àrea de Joc Infantil,Av Diagonal,10,Sant Martí,41.40679356695045,2.199757373643509
Àrea de Joc Infantil,Pl Font Castellana,7,Horta-Guinardó,41.417401077445135,2.1639253838246706
Àrea de Joc Infantil al Parc de Montjuïc - Avinguda de l'Estadi,Av Estadi,3,Sants-Montjuïc,41.366345328427904,2.1508215301245066
Àrea de Joc Infantil a Fernando Pessoa - Estefania Requesens - Cinca - Joan Comorera,C Fernando Pessoa,9,Sant Andreu,41.439290520804754,2.193111146611448
Àrea de Joc Infantil a Via Favència - Castor - Gasela - Caçador,C Gasela,8,Nou Barris,41.44210304955811,2.1698806452452537
Àrea de Joc Infantil a Garigliano,C Garigliano,8,Nou Barris,41.44614070105134,2.174302986318608
Àrea de Joc Infantil a la Plaça Roquetes,Pl Roquetes,8,Nou Barris,41.450553488946746,2.178862817675124
Àrea de Joc Infantil a Amilcar - Passatge Grau,Ptge Grau,8,Nou Barris,41.430537826982125,2.1724090773609026
Àrea de Joc Infantil a Escultor Ordoñez - Pintor Alsamora - Brossa,C Escultor Ordóñez,8,Nou Barris,41.43571387111171,2.176514133805674
Àrea de Joc infantil a la Plaça Boyeros,Pl Boyeros,7,Horta-Guinardó,41.42282861154339,2.1516680369203427
Àrea de Joc Infantil,Maó,5,Sarrià-Sant Gervasi,41.40366083348111,2.1314784393711603
Àrea de Joc Infantil,C Maó,5,Sarrià-Sant Gervasi,41.403659212703744,2.1316455774843077
Àrea de Joc Infantil,C València,10,Sant Martí,41.412218402872526,2.1887155595871257
Àrea de Joc Infantil,Av Litoral,10,Sant Martí,41.39727971819072,2.207470604184096
Àrea de Joc Infantil,Av Icària,10,Sant Martí,41.3889993175699,2.193466781947299
Àrea de Joc Infantil,C Escull,5,Sarrià-Sant Gervasi,41.39802495633763,2.119606023207621
Àrea de Joc Infantil,Av República Argentina,5,Sarrià-Sant Gervasi,41.41123159253481,2.143988466465584
Àrea de Joc Infantil a la Plaça Caba,Pl Caba,4,Les Corts,41.38559298665238,2.141876766729723
Àrea de Joc Infantil a la Plaça de Cirici Pellicer,C Cardenal Vives i Tutó,5,Sarrià-Sant Gervasi,41.39424259615958,2.1205302776971187
Àrea de Joc Infantil a Farigola,C Farigola,6,Gràcia,41.41479671529898,2.1477244946441734
Àrea de Joc Infantil a Joan Cortada - Ezequiel Boixet,C Joan Cortada,7,Horta-Guinardó,41.41583133724897,2.1595494741355044
Àrea de Joc Infantil a la Plaça Josep Pallach,Pl Josep Pallach,7,Horta-Guinardó,41.43379179487879,2.150076643641421
Àrea de Joc Infantil,C Roger de Flor,2,Eixample,41.39889739448143,2.172745125885269
Àrea de Joc Infantil,C Buenos Aires,2,Eixample,41.392481629818334,2.146321842203053
Àrea de Joc Infantil,C Joan Güell,3,Sants-Montjuïc,41.378379016249056,2.133412246511717
Àrea de Joc Infantil,Pg Montjuïc,3,Sants-Montjuïc,41.37192068979768,2.1701826605872294
Àrea de Joc Infantil Plaça Josep Maria Folch i Torres,Pl Josep M. Folch i Torres,1,Ciutat Vella,41.37645927417097,2.1671100903569864
Àrea de Joc Infantil Plaça de les Caramelles,Pl Caramelles,1,Ciutat Vella,41.38178824118357,2.1673499769633056
Àrea de Joc Infantil a la Plaça Llagut,Pl Llagut,1,Ciutat Vella,41.38180733827625,2.1896099862783727
Àrea de Joc Infantil a la Plaça del Vuit de Març,Pl Vuit de Març,1,Ciutat Vella,41.38540970237393,2.174604419320516
Àrea de Joc Infantil Plaça Sant Miquel,Pl Sant Miquel,1,Ciutat Vella,41.38223197404133,2.1769562639252418
