register_id,name,institution_id,institution_name,created,modified,addresses_roadtype_id,addresses_roadtype_name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,addresses_type,values_id,values_attribute_id,values_category,values_attribute_name,values_value,values_outstanding,values_description,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_x,geo_epgs_4326_y
﻿92086026115,Àrea d'Esbarjo per a Gossos  *Plaça Wagner,,,1988-03-15T00:00:00+01:00,2016-12-05T13:04:27+01:00,,,367752,Pl Wagner,1,,26,Sant Gervasi - Galvany,05,Sarrià-Sant Gervasi,08021,BARCELONA,True,,,,,,,,,,,,,,428057.2291183558,4582710.238249476,41.39270909917788,2.139448547511958
﻿93131095056,Àrea d'Esbarjo per a Gossos  *Plaça de Martí Llauradó,,,1993-05-11T00:00:00+02:00,2016-12-05T13:02:25+01:00,,,701078,Pl Martí Llauradó,1,,24,les Tres Torres,05,Sarrià-Sant Gervasi,08017,BARCELONA,True,,,,,,,,,,,,,,427377.6506714786,4582948.19678275,41.39479121571907,2.131292051544364
﻿97314163658,Àrea d'Esbarjo per a Gossos  *Hondures - Sagrera - Josep Estivill,,,1997-11-10T00:00:00+01:00,2020-06-03T12:27:03+02:00,,,169908,C Josep Estivill,72,,61,la Sagrera,09,Sant Andreu,08027,BARCELONA,True,,,,,,,,,,,,,,432365.2316521902,4585688.195098297,41.419904492422546,2.190641315923982
﻿99400040913,Àrea d'Esbarjo per a Gossos,98294134447,Parc de Carles I,2003-05-23T14:16:51+02:00,2016-12-05T13:00:47+01:00,,,062609,Av Icària,121,,67,la Vila Olímpica del Poblenou,10,Sant Martí,08005,BARCELONA,True,,,,,,,,,,,,,,432481.8012366236,4582117.553944791,41.387754573034655,2.1924344149607857
﻿92086026084,Àrea d'Esbarjo per a Gossos  *Travessera de Gràcia,,,1988-03-14T00:00:00+01:00,2016-12-05T13:04:52+01:00,,,344101,Trav Gràcia,253,,31,la Vila de Gràcia,06,Gràcia,08024,BARCELONA,True,,,,,,,,,,,,,,429995.2080175032,4583991.419159345,41.404419268899986,2.162479354818874
﻿92086026093,Àrea d'Esbarjo per a Gossos  *Plaça Julio González,,,1988-03-14T00:00:00+01:00,2016-12-05T12:57:43+01:00,,,701109,Pl Julio González,1,,68,el Poblenou,10,Sant Martí,08005,BARCELONA,True,,,,,,,,,,,,,,433738.98272048915,4583619.376542033,41.40138566453392,2.2073054780587804
﻿99400344557,Àrea d'Esbarjo per a Gossos,98294161742,Parc de Can Dragó,2014-06-06T00:00:00+02:00,2019-10-02T14:12:52+02:00,,,282650,Av Rio de Janeiro,8,,45,Porta,08,Nou Barris,08016,BARCELONA,True,,,,,,,,,,,,,,431596.1488427372,4587052.227650852,41.432124748647816,2.1812845806870365
﻿99400344562,Àrea d'Esbarjo per a Gossos,99109141416,Parc Central de Nou Barris,2014-06-06T00:00:00+02:00,2020-09-15T08:46:30+02:00,,,701639,Pl Major de Nou Barris,1,,48,la Guineueta,08,Nou Barris,08042,BARCELONA,True,,,,,,,,,,,,,,430761.06383847794,4587584.210298242,41.4368445525108,2.1712296246319656
﻿99400078415,Àrea d'Esbarjo per a Gossos,99400078413,Jardí de Joana Tomàs,2004-03-30T14:30:00+02:00,2020-04-03T11:56:26+02:00,,,350308,C València,643,,65,el Clot,10,Sant Martí,08026,BARCELONA,True,,,,,,,,,,,,,,432213.5932993193,4584820.379527931,41.41207557511501,2.1889241389687846
﻿99400344085,Àrea d'Esbarjo per a Gossos *avinguda Coll de Portell,,,2014-06-02T00:00:00+02:00,2020-06-03T11:33:44+02:00,,,083609,Av Coll del Portell,112,,30,la Salut,06,Gràcia,08024,BARCELONA,True,,,,,,,,,,,,,,428959.3338539792,4585065.995465517,41.414006682280736,2.149961550947353
﻿99400344570,Àrea d'Esbarjo per a Gossos,99085102712,Parc de Diagonal Mar,2014-06-06T00:00:00+02:00,2021-04-26T13:25:57.831037+02:00,,,186703,Carrer de Llull,362,,69,Diagonal Mar i el Front Marítim del Poblenou,10,Sant Martí,08019,Barcelona,True,,,,,,,,,,,,,,434252.40256039,4584498.249071254,41.40934360040034,2.2133515989951564
﻿99400344579,Àrea d'Esbarjo per a Gossos,95125123838,Parc de la Font Florida,2014-06-06T00:00:00+02:00,2016-12-05T13:00:18+01:00,,,169409,G.V. Corts Catalanes,196,,14,la Font de la Guatlla,03,Sants-Montjuïc,08004,BARCELONA,True,,,,,,,,,,,,,,428164.66164525656,4580036.186371264,41.368634514222805,2.14105045396157
﻿99400344581,Àrea d'Esbarjo per a Gossos,92086015836,Parc de l'Espanya Industrial,2014-06-06T00:00:00+02:00,2021-04-26T13:27:04.942985+02:00,,,223504,Carrer de Muntadas,1,,18,Sants,03,Sants-Montjuïc,08014,Barcelona,True,,,,,,,,,,,,,,428149.1015865408,4581019.594767327,41.377490329618915,2.1407478666950324
﻿99299100909,Àrea d'Esbarjo per a Gossos,92086011921,Parc de la Ciutadella,1999-10-26T00:00:00+02:00,2016-12-05T13:00:24+01:00,,,246259,Parc Ciutadella,,,04,"Sant Pere, Santa Caterina i la Ribera",01,Ciutat Vella,08003,BARCELONA,True,,,,,,,,,,,,,,432081.58706259285,4582436.065756755,41.39058962785762,2.187612316872371
