NAME,CREATED,ROAD,addresses_district_id,addresses_district_name,LATITUDE,LONGITUDE
Punt de connexió Barcelona WiFi a la cruïlla del carrer Vergós amb carrer Rafael Batlle,2014,C Vergós,5.0,Sarrià-Sant Gervasi,41.39671666865485,2.1263759425571958
Punt de connexió Barcelona WiFi a la cruïlla del carrer Villaroel amb carrer Mallorca,2014,C Villarroel,2.0,Eixample,41.38727910377136,2.15425878563331
Punt de connexió Barcelona WiFi a la cruïlla del carrer Aragó amb carrer Bailèn,2014,C Aragó,2.0,Eixample,41.39665562120545,2.170553061908573
Punt de connexió Barcelona WiFi a la cruïlla del carrer Aragó amb carrer del Comte d'Urgell,2014,C Aragó,2.0,Eixample,41.384690842410976,2.154732320111855
Punt de connexió Barcelona WiFi a la cruïlla del carrer Felip II amb Garcilaso,2012,C Felip II,9.0,Sant Andreu,41.42314619606703,2.1833904277876366
Punt de connexió Barcelona WiFi a la cruïlla de Rambla de Catalunya amb Rosselló,2012,Rbla Catalunya,2.0,Eixample,41.394406494897005,2.1586099071690885
Punt de connexió Barcelona WiFi a la cruïlla del Pg. Reina Elisenda de Montcada amb la Plaça Sarrià,2012,Pl Sarrià,5.0,Sarrià-Sant Gervasi,41.39990623937946,2.1215091019699117
Punt de connexió Barcelona WiFi a la cruïlla del carrer Comte Borrell amb Manso,2012,C Comte Borrell,2.0,Eixample,41.39005091214047,2.164548981695884
Punt de connexió Barcelona WiFi a la cruïlla del carrer Fluvià amb Llull,2014,C Fluvià,10.0,Sant Martí,41.40581123983328,2.2087660437032044
Punt de connexió Barcelona WiFi a la cruïlla del carrer Josep Pla amb Llull,2014,C Josep Pla,10.0,Sant Martí,41.40866657660908,2.215793802624812
Punt de connexió Barcelona WiFi a la cruïlla del carrer Marià Aguiló amb Llull,2014,C Marià Aguiló,10.0,Sant Martí,41.40128783351127,2.2032783013705584
Punt de connexió Barcelona WiFi a la cruïlla del carrer Marià Aguiló amb Pujades,2014,C Marià Aguiló,10.0,Sant Martí,41.402439895015775,2.201334124002109
Punt de connexió Barcelona WiFi a la cruïlla de la Rambla del Poblenou amb el carrer Pujades,2014,Rbla Poblenou,10.0,Sant Martí,41.40191332541208,2.200390534721345
Punt de connexió Barcelona WiFi a la cruïlla de la Rambla del Poblenou amb Sancho de Àvila,2014,Rbla Poblenou,10.0,Sant Martí,41.40433741701694,2.196760784394467
Punt de connexió Barcelona WiFi a la cruïlla del carrer Selva de Mar amb Passeig del Taulat,2014,C Selva de Mar,10.0,Sant Martí,41.40617950213801,2.2132205131908624
Punt de connexió Barcelona WiFi a la cruïlla del carrer Balmes amb Provença,2014,C Balmes,2.0,Eixample,41.39256508217329,2.158184935056476
Punt de connexió Barcelona WiFi a la cruïlla del carrer Muntaner amb carrer Consell de Cent,2014,C Muntaner,2.0,Eixample,41.38624228581944,2.1597887934250983
